SRR8245064	SRR8245065	SRR8245066	SRR8245067	SRR8245068	SRR8245069	SRR8245070	SRR8245071	SRR8245072	SRR8245073	SRR8245074	SRR8245075	SRR8245076	SRR8245077
ENSMUSG00000025931.16	0	12	16	7	0	31	23	3	12	46	10	0	0	35
ENSMUSG00000077314.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000100929.2	2	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041809.6	3	0	8	1	1	2	0	0	2	27	7	17	1	11
ENSMUSG00000041779.6	27	13	54	23	87	102	60	25	53	94	75	2	37	101
ENSMUSG00000099971.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100819.2	0	1	1	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000025933.16	1	0	4	8	0	4	0	2	3	4	6	0	4	3
ENSMUSG00000102633.2	0	1	1	0	8	0	0	0	0	0	0	0	0	0
ENSMUSG00000025934.16	3	0	0	2	7	6	0	0	0	0	0	0	1	2
ENSMUSG00000099343.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096375.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025936.16	4	4	0	0	0	1	2	2	4	0	14	0	0	0
ENSMUSG00000093963.2	4	0	0	1	0	8	0	1	0	0	1	0	0	0
ENSMUSG00000067750.4	0	0	1	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000086194.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094436.2	0	6	1	1	1	0	0	1	0	0	0	0	0	1
ENSMUSG00000041722.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085507.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094926.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085079.4	2	6	4	0	0	0	0	0	0	0	10	0	1	0
ENSMUSG00000085679.3	2	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028033.17	17	10	5	13	4	1	18	1	8	1	1	7	6	6
ENSMUSG00000104138.2	2	0	0	5	4	0	1	12	10	0	0	0	1	1
ENSMUSG00000082935.4	6	2	5	3	4	5	9	2	5	8	4	5	6	7
ENSMUSG00000103748.2	2	0	10	3	2	1	3	0	1	5	0	0	2	7
ENSMUSG00000099692.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100418.2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041670.20	4	1	12	1	3	6	0	0	0	0	4	3	1	0
ENSMUSG00000097642.2	0	0	1	2	0	1	0	0	0	0	0	0	0	2
ENSMUSG00000101468.2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000101227.2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073730.3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ENSMUSG00000089553.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102766.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065405.5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097970.2	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000065567.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100775.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101226.2	1	0	1	0	0	1	0	2	0	0	0	0	0	0
ENSMUSG00000026158.12	4	0	10	4	5	8	7	1	0	10	4	0	1	2
ENSMUSG00000097920.2	1	0	7	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000099503.2	0	0	1	0	0	2	0	3	0	0	0	0	0	1
